title,url,avg_rating,ratings
Efficient Conformal Prediction via Cascaded Inference with Expanded Admission,https://openreview.net/forum?id=tnSo6VRLmT,6.67,"['6', '6', '8']"
Rao-Blackwellizing the Straight-Through Gumbel-Softmax Gradient Estimator,https://openreview.net/forum?id=Mk6PZtgAgfq,6.67,"['8', '7', '5']"
Denoising Diffusion Implicit Models,https://openreview.net/forum?id=St1giarCHLP,6.67,"['5', '8', '7']"
Parameterization of Hypercomplex Multiplications,https://openreview.net/forum?id=rcQdycl0zyk,6.67,"['7', '7', '6']"
Tent: Fully Test-Time Adaptation by Entropy Minimization,https://openreview.net/forum?id=uXl3bZLkr3c,6.67,"['7', '6', '7']"
RODE: Learning Roles to Decompose Multi-Agent Tasks,https://openreview.net/forum?id=TTUVg6vkNjK,6.67,"['8', '6', '6']"
Average-case Acceleration for Bilinear Games and Normal Matrices,https://openreview.net/forum?id=H0syOoy3Ash,6.67,"['7', '7', '6']"
Sparse Quantized Spectral Clustering,https://openreview.net/forum?id=pBqLS-7KYAF,6.67,"['7', '7', '6']"
SEED: Self-supervised Distillation For Visual Representation,https://openreview.net/forum?id=AHm3dbp7D1D,6.67,"['6', '7', '7']"
Refining Deep Generative Models via Wasserstein Gradient Flows,https://openreview.net/forum?id=Zbc-ue9p_rE,6.6,"['7', '7', '7', '7', '5']"
Text Generation by Learning from Off-Policy Demonstrations,https://openreview.net/forum?id=RovX-uQ1Hua,6.6,"['7', '7', '7', '5', '7']"
Provable Benefits of Representation Learning in Linear Bandits,https://openreview.net/forum?id=edJ_HipawCa,6.6,"['6', '5', '8', '7', '7']"
Learned Threshold Pruning,https://openreview.net/forum?id=j0uePNuoBho,6.5,"['9', '4', '9', '4']"
Robust Reinforcement Learning on State Observations with Learned Optimal Adversary,https://openreview.net/forum?id=sCZbhBvqQaU,6.5,"['5', '7', '7', '7']"
Self-supervised Visual Reinforcement Learning with Object-centric Representations,https://openreview.net/forum?id=xppLmXCbOw1,6.5,"['7', '6', '4', '9']"
